# T [GeV]  P/T^4
3.56722343e-01  3.41415471e+00
3.57453288e-01  3.41897309e+00
3.58184355e-01  3.42376869e+00
3.58915544e-01  3.42854164e+00
3.59646853e-01  3.43329208e+00
3.60378280e-01  3.43802018e+00
3.61109826e-01  3.44272597e+00
3.61841488e-01  3.44740967e+00
3.62573267e-01  3.45207133e+00
3.63305162e-01  3.45671106e+00
3.64037170e-01  3.46132907e+00
3.64769291e-01  3.46592543e+00
3.65501523e-01  3.47050030e+00
3.66233868e-01  3.47505372e+00
3.66966322e-01  3.47958588e+00
3.67698886e-01  3.48409686e+00
3.68431558e-01  3.48858680e+00
3.69164337e-01  3.49305582e+00
3.69897223e-01  3.49750402e+00
3.70630214e-01  3.50193154e+00
3.71363310e-01  3.50633847e+00
3.72096510e-01  3.51072493e+00
3.72829812e-01  3.51509108e+00
3.73563215e-01  3.51943703e+00
3.74296721e-01  3.52376279e+00
3.75030326e-01  3.52806859e+00
3.75764031e-01  3.53235447e+00
3.76497834e-01  3.53662059e+00
3.77231734e-01  3.54086706e+00
3.77965732e-01  3.54509394e+00
3.78699825e-01  3.54930140e+00
3.79434013e-01  3.55348952e+00
3.80168296e-01  3.55765840e+00
3.80902673e-01  3.56180814e+00
3.81637141e-01  3.56593893e+00
3.82371702e-01  3.57005078e+00
3.83106353e-01  3.57414386e+00
3.83841096e-01  3.57821822e+00
3.84575927e-01  3.58227400e+00
3.85310847e-01  3.58631132e+00
3.86045855e-01  3.59033027e+00
3.86780951e-01  3.59433092e+00
3.87516133e-01  3.59831340e+00
3.88251401e-01  3.60227781e+00
3.88986754e-01  3.60622428e+00
3.89722191e-01  3.61015290e+00
3.90457712e-01  3.61406372e+00
3.91193315e-01  3.61795692e+00
3.91929001e-01  3.62183252e+00
3.92664768e-01  3.62569070e+00
3.93400616e-01  3.62953150e+00
3.94136544e-01  3.63335503e+00
3.94872552e-01  3.63716137e+00
3.95608638e-01  3.64095064e+00
3.96344802e-01  3.64472298e+00
3.97081044e-01  3.64847841e+00
3.97817363e-01  3.65221706e+00
3.98553757e-01  3.65593902e+00
3.99290227e-01  3.65964443e+00
4.00026772e-01  3.66333328e+00
4.00763391e-01  3.66700574e+00
4.01500084e-01  3.67066191e+00
4.02236850e-01  3.67430180e+00
4.02973688e-01  3.67792559e+00
4.03710598e-01  3.68153334e+00
4.04447579e-01  3.68512516e+00
4.05184630e-01  3.68870110e+00
4.05921752e-01  3.69226127e+00
4.06658943e-01  3.69580575e+00
4.07396203e-01  3.69933465e+00
4.08133531e-01  3.70284802e+00
4.08870926e-01  3.70634601e+00
4.09608389e-01  3.70982864e+00
4.10345919e-01  3.71329602e+00
4.11083514e-01  3.71674826e+00
4.11821175e-01  3.72018539e+00
4.12558901e-01  3.72360757e+00
